cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills
lehrling,h2_schicht,standard,900,165,592,563,29,124,0.9510135135135135,0.42,0.4105263157894737,0.3888888888888889,5.58259325044405,2102,971,0,381
fliessbandarbeiter,h2_schicht,standard,900,200,641,672,0,58,1.0483619344773791,0.42,0.4212328767123288,0.40625,5.857142857142857,3446,626,0,540
rekrut,h2_schicht,standard,300,56,194,178,16,55,0.9175257731958762,0.42,0.39690721649484534,0.3146067415730337,6.455056179775281,205,79,0,38
feldscherin,h2_schicht,standard,300,60,199,176,23,58,0.8844221105527639,0.42,0.3768844221105528,0.2727272727272727,7.7102272727272725,119,19,41,48
werkzeugkiste,h2_schicht,standard,900,174,626,660,0,67,1.0543130990415335,0.42,0.4246575342465753,0.4305555555555556,6.236363636363636,381,84,0,88
erstsemester,h2_schicht,standard,900,182,627,630,0,68,1.0047846889952152,0.42,0.41924398625429554,0.38686131386861317,6.9603174603174605,850,152,0,177
schichtwechsel,h2_schicht,standard,300,61,202,223,0,12,1.103960396039604,0.42,0.38613861386138615,0.36771300448430494,5.681614349775785,1396,200,0,192
kranfuehrer,h2_schicht,standard,300,54,181,213,0,10,1.1767955801104972,0.42,0.3701657458563536,0.36619718309859156,7.187793427230047,877,433,0,133
doktorandin,h2_schicht,standard,600,123,337,401,0,17,1.1899109792284865,0.42,0.3852813852813853,0.35856573705179284,7.321695760598503,1712,223,0,337
vorarbeiter,h2_schicht,standard,300,62,171,218,0,10,1.2748538011695907,0.42,0.4502923976608187,0.4036697247706422,6.935779816513762,639,117,0,133
bibliothekar,h2_schicht,standard,300,63,162,196,0,10,1.2098765432098766,0.42,0.36419753086419754,0.3520408163265306,7.188775510204081,403,32,0,105
